Region,puma_id,puma_group,puma_group_label
1,00101,1,Alameda_W
1,00111,1,Alameda_W
1,00112,1,Alameda_W
1,00113,1,Alameda_W
1,00114,1,Alameda_W
1,00115,1,Alameda_W
1,00116,1,Alameda_W
1,00117,1,Alameda_W
1,00118,1,Alameda_W
1,00119,2,Alameda_E
1,00120,2,Alameda_E
1,00121,1,Alameda_W
1,00122,1,Alameda_W
1,00123,1,Alameda_W
1,01301,3,Contra_Costa
1,01305,3,Contra_Costa
1,01308,3,Contra_Costa
1,01309,3,Contra_Costa
1,01310,3,Contra_Costa
1,01311,3,Contra_Costa
1,01312,3,Contra_Costa
1,01313,3,Contra_Costa
1,01314,3,Contra_Costa
1,04103,11,Marin_Napa
1,04104,11,Marin_Napa
1,05500,11,Marin_Napa
1,07507,5,San_Francisco_SE
1,07508,7,San_Francisco_NW
1,07509,4,San_Francisco_NE
1,07510,4,San_Francisco_NE
1,07511,5,San_Francisco_SE
1,07512,6,San_Francisco_SW
1,07513,6,San_Francisco_SW
1,07514,4,San_Francisco_NE
1,08101,8,San_Mateo
1,08102,8,San_Mateo
1,08103,8,San_Mateo
1,08104,8,San_Mateo
1,08105,8,San_Mateo
1,08106,8,San_Mateo
1,08505,9,Santa_Clara
1,08506,9,Santa_Clara
1,08507,9,Santa_Clara
1,08508,9,Santa_Clara
1,08510,9,Santa_Clara
1,08511,9,Santa_Clara
1,08512,9,Santa_Clara
1,08515,9,Santa_Clara
1,08516,9,Santa_Clara
1,08517,9,Santa_Clara
1,08518,9,Santa_Clara
1,08519,9,Santa_Clara
1,08520,9,Santa_Clara
1,08521,9,Santa_Clara
1,08522,9,Santa_Clara
1,09501,10,Solano
1,09502,10,Solano
1,09503,10,Solano
1,09702,12,Sonoma
1,09704,12,Sonoma
1,09705,12,Sonoma
1,09706,12,Sonoma
