process,pid,rss,full_rss,uss,event,children,time
MainProcess,22524,92_753_920,92_753_920,63_430_656,pipeline.run before preload_injectables,0,2024/12/19 10:17:26.831785
MainProcess,22524,93_048_832,93_048_832,63_438_848,pipeline.run after preload_injectables,0,2024/12/19 10:17:26.846839
MainProcess,22524,93_085_696,93_085_696,63_447_040,pipeline.run_model input_pre_processor start,0,2024/12/19 10:17:26.862930
MainProcess,22524,111_075_328,111_075_328,81_035_264,pipeline.run_model input_pre_processor finished,0,2024/12/19 10:17:27.231618
MainProcess,22524,111_824_896,111_824_896,81_969_152,pipeline.run after input_pre_processor,0,2024/12/19 10:17:27.361638
MainProcess,22524,112_082_944,112_082_944,81_969_152,pipeline.run_model setup_data_structures start,0,2024/12/19 10:17:27.377310
MainProcess,22524,128_229_376,128_229_376,97_914_880,pipeline.run_model setup_data_structures finished,0,2024/12/19 10:17:27.598130
MainProcess,22524,129_773_568,129_773_568,99_258_368,pipeline.run after setup_data_structures,0,2024/12/19 10:17:27.810989
MainProcess,22524,129_880_064,129_880_064,99_360_768,pipeline.run_model initial_seed_balancing start,0,2024/12/19 10:17:27.824556
MainProcess,22524,132_538_368,132_538_368,101_879_808,pipeline.run_model initial_seed_balancing finished,0,2024/12/19 10:18:18.677184
MainProcess,22524,132_571_136,132_571_136,101_879_808,pipeline.run after initial_seed_balancing,0,2024/12/19 10:18:18.743746
MainProcess,22524,132_571_136,132_571_136,101_879_808,pipeline.run_model meta_control_factoring start,0,2024/12/19 10:18:18.767352
MainProcess,22524,130_547_712,130_547_712,100_249_600,pipeline.run_model meta_control_factoring finished,0,2024/12/19 10:18:18.829154
MainProcess,22524,130_940_928,130_940_928,100_249_600,pipeline.run after meta_control_factoring,0,2024/12/19 10:18:18.874372
MainProcess,22524,130_940_928,130_940_928,100_249_600,pipeline.run_model final_seed_balancing start,0,2024/12/19 10:18:18.889440
MainProcess,22524,131_379_200,131_379_200,100_909_056,pipeline.run_model final_seed_balancing finished,0,2024/12/19 10:18:18.919546
MainProcess,22524,132_026_368,132_026_368,101_335_040,pipeline.run after final_seed_balancing,0,2024/12/19 10:18:18.958139
MainProcess,22524,132_026_368,132_026_368,101_335_040,pipeline.run_model expand_households start,0,2024/12/19 10:18:18.972713
MainProcess,22524,132_026_368,132_026_368,101_335_040,pipeline.run_model expand_households finished,0,2024/12/19 10:18:18.987600
MainProcess,22524,133_083_136,133_083_136,102_391_808,pipeline.run after expand_households,0,2024/12/19 10:18:19.024137
MainProcess,22524,133_083_136,133_083_136,102_408_192,pipeline.run_model summarize start,0,2024/12/19 10:18:19.040264
MainProcess,22524,133_812_224,133_812_224,103_161_856,pipeline.run_model summarize finished,0,2024/12/19 10:18:19.100205
MainProcess,22524,133_906_432,133_906_432,103_194_624,pipeline.run after summarize,0,2024/12/19 10:18:19.142435
MainProcess,22524,133_906_432,133_906_432,103_194_624,pipeline.run_model write_tables start,0,2024/12/19 10:18:19.159506
MainProcess,22524,134_041_600,134_041_600,104_206_336,pipeline.run_model write_tables finished,0,2024/12/19 10:18:19.399141
MainProcess,22524,134_950_912,134_950_912,104_206_336,pipeline.run after write_tables,0,2024/12/19 10:18:19.430126
MainProcess,22524,134_950_912,134_950_912,104_206_336,pipeline.run after run_models,0,2024/12/19 10:18:19.445319
